fold,arm,d,max_features,M_blocks,r2,mae
2020Q1,aug@1.00,15,1.0,7,0.6268262366284278,0.09701388618666668
2020Q2,base-7,7,1.0,7,0.8566756695428663,0.06291516283333334
2020Q2,DynET,15,0.4666666666666667,7,0.8674988855940318,0.06307127706666668
2020Q2,aug@0.10,15,0.1,7,0.8119228761846111,0.06351802712000001
2020Q2,aug@0.20,15,0.2,7,0.8610225042269999,0.06157092166
2020Q2,aug@0.30,15,0.3,7,0.8615276127836283,0.06275438353333336
2020Q2,aug@0.40,15,0.4,7,0.8650943408952334,0.06303363786
2020Q2,aug@0.50,15,0.5,7,0.8674988855940318,0.06307127706666668
2020Q2,aug@0.60,15,0.6,7,0.8627720319076694,0.06335096750000001
2020Q2,aug@0.70,15,0.7,7,0.8653730352932139,0.06346852588000002
2020Q2,aug@0.80,15,0.8,7,0.8637347135482201,0.06332793135333334
2020Q2,aug@0.90,15,0.9,7,0.860246039346216,0.06369800955333335
2020Q2,aug@1.00,15,1.0,7,0.8599197887318167,0.06352870237333334
2020Q3,base-7,7,1.0,7,0.7686220381862436,0.09243782190000001
2020Q3,DynET,15,0.4666666666666667,7,0.7631173620684963,0.09514647389333333
2020Q3,aug@0.10,15,0.1,7,0.6971819833441032,0.09430455334666668
2020Q3,aug@0.20,15,0.2,7,0.7755337288054297,0.09159455329333333
2020Q3,aug@0.30,15,0.3,7,0.7725791000867857,0.09331992945333334
2020Q3,aug@0.40,15,0.4,7,0.7642775364980061,0.0948565807
2020Q3,aug@0.50,15,0.5,7,0.7631173620684963,0.09514647389333333
2020Q3,aug@0.60,15,0.6,7,0.7560970269106806,0.09616466840666667
2020Q3,aug@0.70,15,0.7,7,0.7594185017877045,0.09565721596666667
2020Q3,aug@0.80,15,0.8,7,0.7533334563277384,0.09614989402000002
2020Q3,aug@0.90,15,0.9,7,0.7515357173963688,0.09666962013333334
2020Q3,aug@1.00,15,1.0,7,0.7517376831310276,0.09629169559333334
2020Q4,base-7,7,1.0,8,0.6857942619758692,0.09468800552000003
2020Q4,DynET,15,0.5333333333333333,8,0.7153238245352995,0.08811079418666667
2020Q4,aug@0.10,15,0.1,8,0.7366077744435996,0.07511712947333334
2020Q4,aug@0.20,15,0.2,8,0.7433591922831477,0.080341651
2020Q4,aug@0.30,15,0.3,8,0.7427050344048318,0.08191790684666668
2020Q4,aug@0.40,15,0.4,8,0.726450167038639,0.08586014696666669
2020Q4,aug@0.50,15,0.5,8,0.7204453034036886,0.08731843808
2020Q4,aug@0.60,15,0.6,8,0.7120914608535505,0.08935890407333336
2020Q4,aug@0.70,15,0.7,8,0.7062684103791805,0.09038073687333335
2020Q4,aug@0.80,15,0.8,8,0.7029237582499923,0.09132156738000002
2020Q4,aug@0.90,15,0.9,8,0.700762264100885,0.09176358914000002
2020Q4,aug@1.00,15,1.0,8,0.69727185709657,0.09240569228000003
