ticker,fold,model,M_blocks,d,n_train,n_test,r2,mae,rmse,fit_s
NVDA,2022Q3,LSTM,7,7,30000,15000,0.8132535266227205,0.06255938493490663,0.1189924885234312,61.0023054159974
NVDA,2022Q3,GRU,7,7,30000,15000,0.8181932433229077,0.07018252993135263,0.11740817901440923,58.06771700000172
NVDA,2022Q3,iTransformer,7,7,30000,15000,0.8758108282614439,0.057920062314265566,0.09703651883245032,67.04799979199743
NVDA,2022Q3,FT-Transformer,7,7,30000,15000,0.8694577017495937,0.06612738879956499,0.09948760355646931,92.35677970800316
NVDA,2022Q4,MLP,7,7,30000,15000,0.8871938699173768,0.05349157106924769,0.08764905901875761,2.292897625000478
NVDA,2022Q4,LSTM,7,7,30000,15000,0.906821068859626,0.04781699241330783,0.07965990237260649,61.171541292002075
NVDA,2022Q4,GRU,7,7,30000,15000,0.9119874710812921,0.04673851812246704,0.07741999833989487,57.160109082997224
NVDA,2022Q4,iTransformer,7,7,30000,15000,0.9172560739196416,0.04459966661415545,0.07506698436898451,68.14629199999763
NVDA,2022Q4,FT-Transformer,7,7,30000,15000,0.9173331638872756,0.04389085827210808,0.07503200742161435,92.50282958300158
QQQ,2022Q1,MLP,6,7,30000,15000,0.7534013949468109,0.055094438887781566,0.07824081891059759,2.7191629160006414
QQQ,2022Q1,LSTM,6,7,30000,15000,0.7436531511048177,0.057534173533252714,0.07977229217426735,62.671213125002396
QQQ,2022Q1,GRU,6,7,30000,15000,0.7508240950244105,0.056867654122687024,0.07864861909002697,57.53673054200044
QQQ,2022Q1,iTransformer,6,7,30000,15000,0.7241460641818689,0.06035158322819074,0.08275184243737317,67.91390354199757
QQQ,2022Q1,FT-Transformer,6,7,30000,15000,0.7373323929814185,0.059057311288303695,0.0807497782464003,92.32707483299964
QQQ,2022Q2,MLP,6,7,30000,15000,0.5463399148752788,0.0822816534118112,0.12730656612997998,1.8853123330009112
QQQ,2022Q2,LSTM,6,7,30000,15000,0.7186972991687204,0.0552653880652895,0.10024725049550015,73.51714012500088
QQQ,2022Q2,GRU,6,7,30000,15000,0.7390438675127577,0.058498190013481464,0.09655377820340026,72.59954070799722
QQQ,2022Q2,iTransformer,6,7,30000,15000,0.8208189656142021,0.05587697865802224,0.08000765447243065,68.51126570899942
QQQ,2022Q2,FT-Transformer,6,7,30000,15000,0.8034109339799338,0.05923798204452229,0.08380408693325199,94.09427533299822
QQQ,2022Q3,MLP,7,7,30000,15000,0.8632201342173886,0.03623154746465109,0.06751942899205943,2.1122245419974206
QQQ,2022Q3,LSTM,7,7,30000,15000,0.8857251351592899,0.03802308769321187,0.06171532670240813,61.83089179200033
QQQ,2022Q3,GRU,7,7,30000,15000,0.8712525773700377,0.037709390444989846,0.06550688467411885,58.47748133300047
QQQ,2022Q3,iTransformer,7,7,30000,15000,0.8825538023041652,0.037084400939971604,0.06256582199976471,68.07194204100233
QQQ,2022Q3,FT-Transformer,7,7,30000,15000,0.8846290759987677,0.035716682495193164,0.06201058945639093,93.1523502079981
QQQ,2022Q4,MLP,7,7,30000,15000,0.8619019089826787,0.04418405484053825,0.07336705422544924,1.9195551660013734
QQQ,2022Q4,LSTM,7,7,30000,15000,0.8827912973245928,0.04075793671783002,0.0675907357423092,60.77608266699826
QQQ,2022Q4,GRU,7,7,30000,15000,0.8345145312694595,0.04347556563379987,0.08031324554863623,57.185402999999496
QQQ,2022Q4,iTransformer,7,7,30000,15000,0.9088026504371713,0.037362178204139396,0.05962087600016735,67.86936820900155
QQQ,2022Q4,FT-Transformer,7,7,30000,15000,0.9167495617351459,0.03552163376707713,0.05696400404813983,93.00158258399824
TSLA,2020Q1,MLP,7,7,30000,15000,0.2619626051422367,0.20023618273597574,0.27428910878486984,3.3608399589975306
TSLA,2020Q1,LSTM,7,7,30000,15000,-0.2615112250617835,0.26163564105641557,0.35860384302312426,61.24823179099985
TSLA,2020Q1,GRU,7,7,30000,15000,-0.13942676071634974,0.2520074589583626,0.3408102025144067,57.29737875000137
TSLA,2020Q1,iTransformer,7,7,30000,15000,0.09560922484145795,0.23444387773655193,0.3036319311137465,68.17709458299942
TSLA,2020Q1,FT-Transformer,7,7,30000,15000,0.04330450449218737,0.2418549159304288,0.31228868170531243,93.17232133300058
TSLA,2020Q2,MLP,7,7,30000,15000,0.6179676958578829,0.11045001606670711,0.14836848159107094,3.7778388330007147
TSLA,2020Q2,LSTM,7,7,30000,15000,0.6337271307748735,0.10766278065930113,0.14527603676835932,61.328738708001765
TSLA,2020Q2,GRU,7,7,30000,15000,0.632642856452126,0.10777343658065731,0.14549090754675043,58.17030254099882
