fold,region,arm,n,M_blocks,r2,mae
2019Q4,ITM,base-7,1642,7,0.6304975623045121,0.036511001136825004
2019Q4,ITM,aug@1.00,1642,7,0.6251907506883474,0.03642412030044661
2019Q4,ITM,DynET,1642,7,0.6016873070734531,0.037864719082419805
2019Q4,deep_ITM,base-7,2449,7,0.8851536512871585,0.050920713733496666
2019Q4,deep_ITM,aug@1.00,2449,7,0.8917980386104151,0.05039141807540493
2019Q4,deep_ITM,DynET,2449,7,0.8954378070922882,0.049223430270858855
2020Q1,deep_OTM,base-7,3485,7,0.6523515856053441,0.0886456901004304
2020Q1,deep_OTM,aug@1.00,3485,7,0.7031543946919234,0.08154345461501675
2020Q1,deep_OTM,DynET,3485,7,0.7125168779195821,0.07950562456241032
2020Q1,OTM,base-7,1503,7,-0.3680482422128033,0.10753711936127743
2020Q1,OTM,aug@1.00,1503,7,-0.3041374123220233,0.1055498894655134
2020Q1,OTM,DynET,1503,7,-0.3162565075505517,0.10626890392548236
2020Q1,ATM,base-7,782,7,-0.5536736848572112,0.12855648346121057
2020Q1,ATM,aug@1.00,782,7,-0.5149760106692551,0.1277241399829497
2020Q1,ATM,DynET,782,7,-0.5206689267332698,0.12786364671781758
2020Q1,ITM,base-7,1396,7,-0.11985908359850805,0.11059315276981854
2020Q1,ITM,aug@1.00,1396,7,-0.11395334991404416,0.11093074078319007
2020Q1,ITM,DynET,1396,7,-0.12190772192992538,0.11157337459407833
2020Q1,deep_ITM,base-7,2834,7,0.7688386093018096,0.09985203733239235
2020Q1,deep_ITM,aug@1.00,2834,7,0.7843013575821919,0.09618166798400375
2020Q1,deep_ITM,DynET,2834,7,0.7888654694032908,0.09568628388614442
2020Q2,deep_OTM,base-7,3386,7,0.8830329677538001,0.05724914303996848
2020Q2,deep_OTM,aug@1.00,3386,7,0.8900896082518163,0.05909228773380587
2020Q2,deep_OTM,DynET,3386,7,0.8939356159215515,0.058301674069698765
2020Q2,OTM,base-7,1509,7,0.2902505351971433,0.05099056240335764
2020Q2,OTM,aug@1.00,1509,7,0.2717767914871263,0.05134762703777336
2020Q2,OTM,DynET,1509,7,0.2633570638163185,0.05151124285398719
2020Q2,ATM,base-7,826,7,-0.10349181452297196,0.054988970298627926
2020Q2,ATM,aug@1.00,826,7,-0.14196993695891225,0.05560815407586765
2020Q2,ATM,DynET,826,7,-0.15760606124300436,0.05575596690879744
2020Q2,ITM,base-7,1452,7,0.4756668452927575,0.052500916896235095
2020Q2,ITM,aug@1.00,1452,7,0.41150071036855385,0.05424871781450874
2020Q2,ITM,DynET,1452,7,0.3593831858824573,0.055885807759412306
2020Q2,deep_ITM,base-7,2827,7,0.8489930223763905,0.08373153538497821
2020Q2,deep_ITM,aug@1.00,2827,7,0.853377252311251,0.08242500698030897
2020Q2,deep_ITM,DynET,2827,7,0.8661734435069279,0.08078253104586727
2020Q3,deep_OTM,base-7,3367,7,0.7414822460261716,0.08499461011781011
2020Q3,deep_OTM,aug@1.00,3367,7,0.7488229846438674,0.08607869927729926
2020Q3,deep_OTM,DynET,3367,7,0.7463607779880312,0.08679227139887138
2020Q3,OTM,base-7,1403,7,-0.6829395957932645,0.08396137885483489
2020Q3,OTM,aug@1.00,1403,7,-0.8025886929892987,0.08866160099786172
2020Q3,OTM,DynET,1403,7,-0.7369773991666306,0.08744588619624613
2020Q3,ATM,base-7,758,7,-1.295575440270078,0.08771067766051016
2020Q3,ATM,aug@1.00,758,7,-1.6882218684465493,0.09457463570800353
2020Q3,ATM,DynET,758,7,-1.450325887217633,0.0910905896218118
2020Q3,ITM,base-7,1376,7,-0.9244195325191191,0.08568633246124031
2020Q3,ITM,aug@1.00,1376,7,-1.1689874667308238,0.09191116031976745
2020Q3,ITM,DynET,1376,7,-1.0224093320813918,0.08922006346899225
2020Q3,deep_ITM,base-7,3096,7,0.8211932619929057,0.10853180396210166
2020Q3,deep_ITM,aug@1.00,3096,7,0.8033690973515031,0.11322364948320415
2020Q3,deep_ITM,DynET,3096,7,0.815480925133174,0.11134854926787251
2020Q4,deep_OTM,base-7,3161,8,0.81589739822835,0.06754474370979652
2020Q4,deep_OTM,aug@1.00,3161,8,0.8268769653552632,0.06525965236739431
2020Q4,deep_OTM,DynET,3161,8,0.8502004638553415,0.060379869007698
2020Q4,OTM,base-7,1605,8,-3.0004061011058,0.11139422695742476
2020Q4,OTM,aug@1.00,1605,8,-2.831854192875979,0.10895223007268953
2020Q4,OTM,DynET,1605,8,-2.3731165379439116,0.10233970330218073
2020Q4,ATM,base-7,859,8,-4.263528149209748,0.12290381350407449
2020Q4,ATM,aug@1.00,859,8,-4.184662548439086,0.12167227240977878
2020Q4,ATM,DynET,859,8,-3.693322663235308,0.11566473255723707
2020Q4,ITM,base-7,1538,8,-2.250697364136915,0.10956950940615522
2020Q4,ITM,aug@1.00,1538,8,-2.120917573640238,0.10707631677503252
2020Q4,ITM,DynET,1538,8,-1.9032583735498037,0.1035384033810143
2020Q4,deep_ITM,base-7,2837,8,0.802505688828349,0.09886891251321824
2020Q4,deep_ITM,aug@1.00,2837,8,0.8086897894421221,0.09647619851956295
2020Q4,deep_ITM,DynET,2837,8,0.8074214891000433,0.09425233784514161
