fold,region,arm,n,M_blocks,r2,mae
2018Q4,ITM,DynET,2167,15,0.8347740850377674,0.03337103804799256
2018Q4,deep_ITM,ET-12,3515,15,0.9814201920041268,0.042265271140825074
2018Q4,deep_ITM,ET-20,3515,15,0.9858114245173952,0.03902345977240402
2018Q4,deep_ITM,DynET,3515,15,0.9855263906357494,0.03956094805689909
2019Q1,deep_OTM,ET-12,6179,13,0.9904968228834239,0.018834322778766847
2019Q1,deep_OTM,ET-20,6179,13,0.9930537396542736,0.01621826364298428
2019Q1,deep_OTM,DynET,6179,13,0.9926982480744764,0.016388777326428187
2019Q1,OTM,ET-12,2190,13,0.893150889686274,0.015794115922374456
2019Q1,OTM,ET-20,2190,13,0.9229702263011067,0.0136790136849315
2019Q1,OTM,DynET,2190,13,0.9106649422676254,0.014491145767123294
2019Q1,ATM,ET-12,1041,13,0.8046401703375957,0.016610337060518704
2019Q1,ATM,ET-20,1041,13,0.8258212894057118,0.016055203515850137
2019Q1,ATM,DynET,1041,13,0.8078959525100188,0.016914517809798274
2019Q1,ITM,ET-12,2109,13,0.9270995043505247,0.018903556875296264
2019Q1,ITM,ET-20,2109,13,0.9460644054416443,0.016647920488383067
2019Q1,ITM,DynET,2109,13,0.944902273664069,0.01659025615457559
2019Q1,deep_ITM,ET-12,3481,13,0.972062374908015,0.03997225576271166
2019Q1,deep_ITM,ET-20,3481,13,0.9792368262171939,0.03451003422005151
2019Q1,deep_ITM,DynET,3481,13,0.9791789935084714,0.03459253535765563
2019Q2,deep_OTM,ET-12,5472,13,0.9958988892945707,0.012026608813962036
2019Q2,deep_OTM,ET-20,5472,13,0.9965316781645508,0.011387454303728178
2019Q2,deep_OTM,DynET,5472,13,0.9963300053482225,0.011689903739035138
2019Q2,OTM,ET-12,2405,13,0.9688776735221629,0.006605337987525942
2019Q2,OTM,ET-20,2405,13,0.9706144095910161,0.006692511110187101
2019Q2,OTM,DynET,2405,13,0.9673482048941673,0.0069534495176714894
2019Q2,ATM,ET-12,1209,13,0.9462175653499045,0.007081685343258864
2019Q2,ATM,ET-20,1209,13,0.9412347037505863,0.007350991530190175
2019Q2,ATM,DynET,1209,13,0.9356787869128728,0.00763411150537631
2019Q2,ITM,ET-12,2294,13,0.95889329137924,0.012922719010461993
2019Q2,ITM,ET-20,2294,13,0.9703874021062956,0.011282066612903133
2019Q2,ITM,DynET,2294,13,0.9711309015082058,0.01083128367480378
2019Q2,deep_ITM,ET-12,3620,13,0.9797615303441445,0.030726448693370205
2019Q2,deep_ITM,ET-20,3620,13,0.9864904993281637,0.025979494582873054
2019Q2,deep_ITM,DynET,3620,13,0.9849885963954335,0.026467147488950394
2019Q3,deep_OTM,ET-12,5028,13,0.9917367576981283,0.012070260612569581
2019Q3,deep_OTM,ET-20,5028,13,0.9925010547190891,0.011787938802704782
2019Q3,deep_OTM,DynET,5028,13,0.9919421423750435,0.012117215944709539
2019Q3,OTM,ET-12,2651,13,0.973911318263009,0.006791917385892077
2019Q3,OTM,ET-20,2651,13,0.9724959111331596,0.0070980806601282235
2019Q3,OTM,DynET,2651,13,0.9688261861485133,0.007551168332704604
2019Q3,ATM,ET-12,1349,13,0.9282901297625492,0.007604946486286148
2019Q3,ATM,ET-20,1349,13,0.9209210291939187,0.007898655856189787
2019Q3,ATM,DynET,1349,13,0.9131543835821924,0.008364073261675346
2019Q3,ITM,ET-12,2400,13,0.9552784690623903,0.012233304891666753
2019Q3,ITM,ET-20,2400,13,0.9689343177847156,0.010854426258333431
2019Q3,ITM,DynET,2400,13,0.9690742129708196,0.010739331850000106
2019Q3,deep_ITM,ET-12,3572,13,0.9842135248834112,0.021790338348264233
2019Q3,deep_ITM,ET-20,3572,13,0.9890053125376426,0.01924039359182524
2019Q3,deep_ITM,DynET,3572,13,0.9883123007401583,0.019128978320268723
2019Q4,deep_OTM,ET-12,4988,13,0.9792136138457684,0.016192577814755502
2019Q4,deep_OTM,ET-20,4988,13,0.9858248078731364,0.014370191465517247
2019Q4,deep_OTM,DynET,4988,13,0.98425102395233,0.014338193003207734
2019Q4,OTM,ET-12,2458,13,0.7412578633143712,0.024177070240032638
2019Q4,OTM,ET-20,2458,13,0.8119854660156567,0.021079803559804804
2019Q4,OTM,DynET,2458,13,0.7928569388060464,0.022073127709520027
2019Q4,ATM,ET-12,1292,13,0.3385163662532672,0.03170664582043343
2019Q4,ATM,ET-20,1292,13,0.37997787359199753,0.030962360085139366
2019Q4,ATM,DynET,1292,13,0.3808282572590521,0.030881490681114586
2019Q4,ITM,ET-12,2240,13,0.7992975651818106,0.030292123495535898
2019Q4,ITM,ET-20,2240,13,0.8307391589596114,0.028619498705357276
2019Q4,ITM,DynET,2240,13,0.8169115667073891,0.029707678982142976
2019Q4,deep_ITM,ET-12,4022,13,0.958874786039212,0.052421834328691866
2019Q4,deep_ITM,ET-20,4022,13,0.9772407345816034,0.04111284205121791
2019Q4,deep_ITM,DynET,4022,13,0.9739875513013468,0.043443468028343764
2020Q1,deep_OTM,ET-12,5527,13,0.849267803079812,0.06627510347023688
2020Q1,deep_OTM,ET-20,5527,13,0.858951689739677,0.0673540742409986
2020Q1,deep_OTM,DynET,5527,13,0.8377387168046037,0.07106877955310284
2020Q1,OTM,ET-12,2060,13,0.2359706461375478,0.0769743190873785
2020Q1,OTM,ET-20,2060,13,0.17249216331922212,0.07942720594660185
2020Q1,OTM,DynET,2060,13,0.1383642286561927,0.08156044596116489
2020Q1,ATM,ET-12,1111,13,0.16676131026268992,0.09171463099909992
2020Q1,ATM,ET-20,1111,13,0.09523737129948895,0.09528522636363645
2020Q1,ATM,DynET,1111,13,0.06544921546878202,0.0971564637353736
2020Q1,ITM,ET-12,2002,13,0.46588344247243196,0.07246566128871136
2020Q1,ITM,ET-20,2002,13,0.36013170473349665,0.07794451808191818
2020Q1,ITM,DynET,2002,13,0.3613759114607149,0.07836311016983023
2020Q1,deep_ITM,ET-12,4300,13,0.9160110872427141,0.07387502506279087
2020Q1,deep_ITM,ET-20,4300,13,0.9432539383771514,0.06347298916046513
2020Q1,deep_ITM,DynET,4300,13,0.9397464622120495,0.06505683423953494
2020Q2,deep_OTM,ET-12,5452,12,0.9893624815011514,0.016258809570799795
2020Q2,deep_OTM,ET-20,5452,12,0.9902761786470808,0.016660985322817394
2020Q2,deep_OTM,DynET,5452,12,0.989019025996755,0.017015812644900964
2020Q2,OTM,ET-12,2016,12,0.9445477641320301,0.014321594226190514
2020Q2,OTM,ET-20,2016,12,0.9443862467184462,0.01464745587301595
2020Q2,OTM,DynET,2016,12,0.9434424124622163,0.014797644816468324
2020Q2,ATM,ET-12,1046,12,0.8736240126317443,0.01769661000956027
2020Q2,ATM,ET-20,1046,12,0.8708585005059555,0.01833611015296365
2020Q2,ATM,DynET,1046,12,0.8662459069560614,0.01878804583174003
2020Q2,ITM,ET-12,1808,12,0.9118335352620994,0.019510368882743295
2020Q2,ITM,ET-20,1808,12,0.9195364164558637,0.019187502654867187
2020Q2,ITM,DynET,1808,12,0.912166776578454,0.020273353086283138
2020Q2,deep_ITM,ET-12,4678,12,0.9536662549045009,0.038218704623770826
2020Q2,deep_ITM,ET-20,4678,12,0.9711812506242777,0.031566917359982856
2020Q2,deep_ITM,DynET,4678,12,0.9683013537024528,0.03205560088285593
2020Q3,deep_OTM,ET-12,5622,9,0.8648790674959893,0.07038719313055854
2020Q3,deep_OTM,ET-20,5622,9,0.8698556813031579,0.06827413911775175
2020Q3,deep_OTM,DynET,5622,9,0.8598862332758026,0.06704137443080767
2020Q3,OTM,ET-12,1754,9,0.016933002450909007,0.053607032753705534
2020Q3,OTM,ET-20,1754,9,0.024295078933365133,0.05273766355758249
2020Q3,OTM,DynET,1754,9,0.10043480479403277,0.04959923250285049
