setting,seed,dataset,model,region,n,M,r2,mae,cfg
transfer,101,2017 European,ET,all,1700,,0.11172147393598986,0.10080166799068623,"{'max_features': 0.85, 'min_samples_leaf': 1, 'max_depth': None, 'min_samples_split': 5}"
transfer,101,2017 European,ET,OTM,412,,0.4464640151620005,0.07965958412014554,
transfer,101,2017 European,ET,ATM,772,,-0.05440135102616983,0.09992017882556128,
transfer,101,2017 European,ET,ITM,494,,-0.07578145120201274,0.1197957232860998,
transfer,101,"12,110 American",ET,all,11563,,-1.7289735334403913,0.25572668730085935,"{'max_features': 0.85, 'min_samples_leaf': 1, 'max_depth': None, 'min_samples_split': 5}"
transfer,101,"12,110 American",ET,deep OTM,2524,,-1.1834627632849037,0.2406390896424331,
transfer,101,"12,110 American",ET,OTM,1812,,-3.0838799426284096,0.2861072869630246,
transfer,101,"12,110 American",ET,ATM,1934,,-4.1987579608692105,0.27220618142459513,
transfer,101,"12,110 American",ET,ITM,1586,,-3.650679244880907,0.27512100852994964,
transfer,101,"12,110 American",ET,deep ITM,3707,,-1.5517713367045807,0.2342539909958639,
transfer,101,held out,RF,all,887,,0.8265764515422467,0.05069813404735066,"{'max_features': 0.5, 'min_samples_leaf': 1, 'max_depth': None, 'min_samples_split': 2}"
transfer,101,held out,RF,OTM,276,,0.794533481779157,0.05364707101449281,
transfer,101,held out,RF,ATM,305,,0.8552872497892918,0.042092845245901685,
transfer,101,held out,RF,ITM,292,,0.8398337305487853,0.05456352248858451,
transfer,101,2017 European,RF,all,1700,,0.0862937611552389,0.10191033127450978,"{'max_features': 0.5, 'min_samples_leaf': 1, 'max_depth': None, 'min_samples_split': 2}"
transfer,101,2017 European,RF,OTM,412,,0.41917043836946977,0.08271875275080896,
transfer,101,2017 European,RF,ATM,772,,-0.13773129362624803,0.10372942245250426,
transfer,101,2017 European,RF,ITM,494,,-0.032537384921421886,0.11485809230769232,
transfer,101,"12,110 American",RF,all,11563,,-1.2264883558265063,0.22874517613087722,"{'max_features': 0.5, 'min_samples_leaf': 1, 'max_depth': None, 'min_samples_split': 2}"
transfer,101,"12,110 American",RF,deep OTM,2524,,-1.158618678723049,0.24086829535512405,
transfer,101,"12,110 American",RF,OTM,1812,,-1.7575399133000436,0.23174955350791024,
transfer,101,"12,110 American",RF,ATM,1934,,-1.9676135433139659,0.19929664281282317,
transfer,101,"12,110 American",RF,ITM,1586,,-2.4177816384245876,0.23696099988041192,
transfer,101,"12,110 American",RF,deep ITM,3707,,-1.4939643070785347,0.2308710143399874,
transfer,2024,held out,Dynamic ET,all,887,16.0,0.7949404132972656,0.05348314960040053,"{'tau': 0.95, 'min_samples_leaf': 1, 'max_depth': 24, 'min_samples_split': 2}"
transfer,2024,held out,Dynamic ET,OTM,270,16.0,0.755033372941377,0.051903474111894166,
transfer,2024,held out,Dynamic ET,ATM,292,16.0,0.8565330612445456,0.04462494256891416,
transfer,2024,held out,Dynamic ET,ITM,308,16.0,0.760443736572876,0.06219037379349324,
transfer,2024,2017 European,Dynamic ET,all,1700,16.0,0.06691240813746557,0.1035502222026046,"{'tau': 0.95, 'min_samples_leaf': 1, 'max_depth': 24, 'min_samples_split': 2}"
transfer,2024,2017 European,Dynamic ET,OTM,412,16.0,0.44875314475736405,0.08028903112723162,
transfer,2024,2017 European,Dynamic ET,ATM,772,16.0,-0.1726586770185632,0.10395864538622986,
transfer,2024,2017 European,Dynamic ET,ITM,494,16.0,-0.07699505115664551,0.12205876165528343,
transfer,2024,"12,110 American",Dynamic ET,all,11563,16.0,-0.3004249924373976,0.1680494015868111,"{'tau': 0.95, 'min_samples_leaf': 1, 'max_depth': 24, 'min_samples_split': 2}"
transfer,2024,"12,110 American",Dynamic ET,deep OTM,2524,16.0,-0.035016666626386916,0.1595277754577163,
transfer,2024,"12,110 American",Dynamic ET,OTM,1812,16.0,-0.5749395003573363,0.1705336748312902,
transfer,2024,"12,110 American",Dynamic ET,ATM,1934,16.0,-0.7194881234669577,0.1504680198702476,
transfer,2024,"12,110 American",Dynamic ET,ITM,1586,16.0,-0.909238787308629,0.17436756133461118,
transfer,2024,"12,110 American",Dynamic ET,deep ITM,3707,16.0,-0.671487552525788,0.1791065561890938,
transfer,2024,held out,ET-aug,all,887,,0.7980690043464375,0.05305449583755651,"{'min_samples_leaf': 1, 'max_depth': 24, 'min_samples_split': 5}"
transfer,2024,held out,ET-aug,OTM,270,,0.7446005101197102,0.0523056987202245,
transfer,2024,held out,ET-aug,ATM,292,,0.862504970855364,0.04355905315465071,
transfer,2024,held out,ET-aug,ITM,308,,0.76995223077751,0.061578016854361595,
transfer,2024,2017 European,ET-aug,all,1700,,0.042990415883837785,0.10416532635067349,"{'min_samples_leaf': 1, 'max_depth': 24, 'min_samples_split': 5}"
transfer,2024,2017 European,ET-aug,OTM,412,,0.4514738687608333,0.07920436922368514,
transfer,2024,2017 European,ET-aug,ATM,772,,-0.20250059910023355,0.10453480373443251,
transfer,2024,2017 European,ET-aug,ITM,494,,-0.12007482284018334,0.12414222699838333,
transfer,2024,"12,110 American",ET-aug,all,11563,,-0.3470951358342593,0.17101634908646693,"{'min_samples_leaf': 1, 'max_depth': 24, 'min_samples_split': 5}"
transfer,2024,"12,110 American",ET-aug,deep OTM,2524,,-0.07105861674869396,0.16250133031152272,
transfer,2024,"12,110 American",ET-aug,OTM,1812,,-0.5896800658112502,0.17060667355004144,
transfer,2024,"12,110 American",ET-aug,ATM,1934,,-0.7487015708674079,0.1500400129417651,
transfer,2024,"12,110 American",ET-aug,ITM,1586,,-1.0362188803335917,0.17967354568456162,
transfer,2024,"12,110 American",ET-aug,deep ITM,3707,,-0.7411860298451454,0.1842540506670543,
transfer,2024,held out,ET,all,887,,0.8262765207488193,0.04909458364148807,"{'max_features': 1.0, 'min_samples_leaf': 1, 'max_depth': None, 'min_samples_split': 2}"
transfer,2024,held out,ET,OTM,270,,0.8341555052464907,0.04817704914814816,
transfer,2024,held out,ET,ATM,292,,0.869740986060991,0.03988208558219161,
transfer,2024,held out,ET,ITM,308,,0.7786046311150641,0.05787128863636354,
transfer,2024,2017 European,ET,all,1700,,0.047787713012585775,0.1042523883470587,"{'max_features': 1.0, 'min_samples_leaf': 1, 'max_depth': None, 'min_samples_split': 2}"
transfer,2024,2017 European,ET,OTM,412,,0.44296863749583326,0.08093065606796104,
transfer,2024,2017 European,ET,ATM,772,,-0.1366411407470849,0.1034795704404145,
transfer,2024,2017 European,ET,ITM,494,,-0.17345113635418352,0.12476537668016163,
transfer,2024,"12,110 American",ET,all,11563,,-1.8567821610886779,0.26106876548144947,"{'max_features': 1.0, 'min_samples_leaf': 1, 'max_depth': None, 'min_samples_split': 2}"
transfer,2024,"12,110 American",ET,deep OTM,2524,,-1.3697092058317928,0.24997669954160115,
transfer,2024,"12,110 American",ET,OTM,1812,,-3.4446520319326446,0.29860650803256095,
transfer,2024,"12,110 American",ET,ATM,1934,,-4.370003283383129,0.2763838935418821,
transfer,2024,"12,110 American",ET,ITM,1586,,-3.652474291350785,0.27477358385561124,
transfer,2024,"12,110 American",ET,deep ITM,3707,,-1.625027372228602,0.23641882896115451,
transfer,2024,held out,RF,all,887,,0.8106888082991522,0.05096990105223603,"{'max_features': 0.7, 'min_samples_leaf': 1, 'max_depth': None, 'min_samples_split': 2}"
transfer,2024,held out,RF,OTM,270,,0.7967750674699318,0.051672326172839504,
transfer,2024,held out,RF,ATM,292,,0.8837530184397779,0.03996826815068498,
transfer,2024,held out,RF,ITM,308,,0.7536420263620425,0.05912854707792211,
transfer,2024,2017 European,RF,all,1700,,0.006512930459450894,0.10569707131372548,"{'max_features': 0.7, 'min_samples_leaf': 1, 'max_depth': None, 'min_samples_split': 2}"
transfer,2024,2017 European,RF,OTM,412,,0.4071929957191005,0.08248927855987055,
transfer,2024,2017 European,RF,ATM,772,,-0.21958883581059863,0.1065944701208981,
transfer,2024,2017 European,RF,ITM,494,,-0.17655282111333714,0.1234389240215924,
transfer,2024,"12,110 American",RF,all,11563,,-1.8003010083582964,0.25690420114433954,"{'max_features': 0.7, 'min_samples_leaf': 1, 'max_depth': None, 'min_samples_split': 2}"
transfer,2024,"12,110 American",RF,deep OTM,2524,,-1.8219440382949346,0.2750128963469359,
transfer,2024,"12,110 American",RF,OTM,1812,,-2.4524782029987393,0.2595770269269682,
transfer,2024,"12,110 American",RF,ATM,1934,,-2.6899490871756955,0.22174088152154425,
transfer,2024,"12,110 American",RF,ITM,1586,,-3.37843306999702,0.2672114114911726,
transfer,2024,"12,110 American",RF,deep ITM,3707,,-2.0507645159564882,0.25720339659374136,
transfer,13,held out,Dynamic ET,all,887,16.0,0.815041619554249,0.05238736340190874,"{'tau': 0.95, 'min_samples_leaf': 1, 'max_depth': 24, 'min_samples_split': 2}"
transfer,13,held out,Dynamic ET,OTM,269,16.0,0.8274588139312318,0.04660398102763192,
transfer,13,held out,Dynamic ET,ATM,314,16.0,0.8304034554919496,0.05203565041766659,
transfer,13,held out,Dynamic ET,ITM,293,16.0,0.7978848862636595,0.05593792403705286,
transfer,13,2017 European,Dynamic ET,all,1700,16.0,0.06780158214192888,0.10333122772009251,"{'tau': 0.95, 'min_samples_leaf': 1, 'max_depth': 24, 'min_samples_split': 2}"
transfer,13,2017 European,Dynamic ET,OTM,412,16.0,0.43394707584089565,0.08147398693863207,
transfer,13,2017 European,Dynamic ET,ATM,772,16.0,-0.15945011627020245,0.10320871910017587,
transfer,13,2017 European,Dynamic ET,ITM,494,16.0,-0.07426339206177657,0.12123152486464407,
transfer,13,"12,110 American",Dynamic ET,all,11563,16.0,-0.41918475124321475,0.17910189282250064,"{'tau': 0.95, 'min_samples_leaf': 1, 'max_depth': 24, 'min_samples_split': 2}"
transfer,13,"12,110 American",Dynamic ET,deep OTM,2524,16.0,-0.10353459539802157,0.16702898274871147,
transfer,13,"12,110 American",Dynamic ET,OTM,1812,16.0,-0.8273220688850929,0.18709920886835632,
transfer,13,"12,110 American",Dynamic ET,ATM,1934,16.0,-1.1191279533894258,0.17114298752995535,
transfer,13,"12,110 American",Dynamic ET,ITM,1586,16.0,-1.0709152666312947,0.18278385052526397,
transfer,13,"12,110 American",Dynamic ET,deep ITM,3707,16.0,-0.7349605943273858,0.18598989559303014,
transfer,13,held out,ET-aug,all,887,,0.8189767183386877,0.051481758797529635,"{'min_samples_leaf': 1, 'max_depth': 24, 'min_samples_split': 2}"
transfer,13,held out,ET-aug,OTM,269,,0.830988927554869,0.04577006049565204,
transfer,13,held out,ET-aug,ATM,314,,0.8360180498846923,0.05097961017098061,
transfer,13,held out,ET-aug,ITM,293,,0.8000606754467303,0.05511299321188412,
transfer,13,2017 European,ET-aug,all,1700,,0.050109512847355875,0.10344214279201779,"{'min_samples_leaf': 1, 'max_depth': 24, 'min_samples_split': 2}"
transfer,13,2017 European,ET-aug,OTM,412,,0.4431841187400398,0.08015918823509217,
transfer,13,2017 European,ET-aug,ATM,772,,-0.18549822879500133,0.10325079978343753,
transfer,13,2017 European,ET-aug,ITM,494,,-0.10699226184827548,0.12261325452332758,
transfer,13,"12,110 American",ET-aug,all,11563,,-0.5072175382340014,0.18531557886782576,"{'min_samples_leaf': 1, 'max_depth': 24, 'min_samples_split': 2}"
transfer,13,"12,110 American",ET-aug,deep OTM,2524,,-0.24882962316830182,0.1794551025760862,
transfer,13,"12,110 American",ET-aug,OTM,1812,,-0.9324080424144714,0.1925065806735071,
transfer,13,"12,110 American",ET-aug,ATM,1934,,-1.1716478922432385,0.17205068624599956,
transfer,13,"12,110 American",ET-aug,ITM,1586,,-1.2152788920440445,0.18897190999265961,
transfer,13,"12,110 American",ET-aug,deep ITM,3707,,-0.805685848678438,0.19114700807070714,
transfer,13,held out,ET,all,887,,0.827811044486008,0.049170076588688744,"{'max_features': 1.0, 'min_samples_leaf': 1, 'max_depth': 24, 'min_samples_split': 2}"
transfer,13,held out,ET,OTM,269,,0.8487599404347781,0.044091825235860645,
transfer,13,held out,ET,ATM,314,,0.8436716900381642,0.04868248743867724,
transfer,13,held out,ET,ITM,293,,0.8010945792989207,0.052572479132702674,
