fold,arm,d,max_features,M_blocks,n_train,n_test,r2,mae,rmse,secs
2020Q1,ET-20@1.00,20,1.0,13,30000,15000,0.8702271770838953,0.07138177851066663,0.12182792688336234,6.447216374974232
2020Q1,ET-12@0.30,12,0.3,13,30000,15000,0.7980955498742835,0.084913670786,0.15195952371533364,1.8272172079887241
2020Q1,ET-12@0.50,12,0.5,13,30000,15000,0.8369593127283985,0.07658614145000002,0.1365535442521132,2.658629583020229
2020Q1,ET-12@0.70,12,0.7,13,30000,15000,0.8513042494763918,0.07365308124733334,0.13040800669635744,3.242064042016864
2020Q2,ET-12,12,1.0,12,30000,15000,0.9666834005263094,0.023339190998666694,0.07030204522082155,4.237174790992867
2020Q2,DynET,20,0.6,12,30000,15000,0.9759572190181871,0.021924325449333346,0.05972139943207062,4.425922749971505
2020Q2,ET-20@0.10,20,0.1,12,30000,15000,0.9312702061956581,0.03617095829266664,0.10097413611057567,1.5549184999545105
2020Q2,ET-20@0.20,20,0.2,12,30000,15000,0.9597651297596386,0.026469391191333295,0.07725719361605232,2.16864287503995
2020Q2,ET-20@0.30,20,0.3,12,30000,15000,0.9699278331096569,0.023397452178666688,0.06679131394874945,2.6987501659896225
2020Q2,ET-20@0.40,20,0.4,12,30000,15000,0.9730604327277371,0.02260911169866668,0.06321686188300664,3.154274583037477
2020Q2,ET-20@0.50,20,0.5,12,30000,15000,0.9751235821397042,0.02201184545133333,0.06074793888497579,3.7791988750104792
2020Q2,ET-20@0.60,20,0.6,12,30000,15000,0.9759572190181871,0.021924325449333346,0.05972139943207062,4.055565792019479
2020Q2,ET-20@0.70,20,0.7,12,30000,15000,0.9762418397209817,0.02175634413200003,0.059366853248372445,4.7246190829901025
2020Q2,ET-20@0.80,20,0.8,12,30000,15000,0.9778075363923067,0.02162065314066668,0.05737733647728244,5.153705916018225
2020Q2,ET-20@0.90,20,0.9,12,30000,15000,0.9775527159422243,0.021561579519999995,0.05770580806509332,5.609786707966123
2020Q2,ET-20@1.00,20,1.0,12,30000,15000,0.9781590280706149,0.02146037189666668,0.05692114218317329,6.581547749985475
2020Q2,ET-12@0.30,12,0.3,12,30000,15000,0.9145321130707885,0.03451125078866662,0.11260018631546631,2.1284311250201426
2020Q2,ET-12@0.50,12,0.5,12,30000,15000,0.9483330092076101,0.025744547679999983,0.08754759288923289,2.7796326659736224
2020Q2,ET-12@0.70,12,0.7,12,30000,15000,0.9584401950466763,0.024146173912666703,0.07851893060772457,3.359652833023574
2020Q3,ET-12,12,1.0,9,30000,15000,0.9004222665131164,0.07411971626599988,0.1334950360946346,4.146880207990762
2020Q3,DynET,20,0.45,9,30000,15000,0.9004423002874186,0.0692709839733333,0.13348160666690134,3.4280994590371847
2020Q3,ET-20@0.10,20,0.1,9,30000,15000,0.8528704352705676,0.07967288281200002,0.16226840737972167,1.5674896669806913
2020Q3,ET-20@0.20,20,0.2,9,30000,15000,0.8932523415750372,0.06982046879466663,0.13821754577767395,2.0444871250074357
2020Q3,ET-20@0.30,20,0.3,9,30000,15000,0.8990882098715778,0.06821690517399998,0.1343862866875125,2.6965838750475086
2020Q3,ET-20@0.40,20,0.4,9,30000,15000,0.9015218966606965,0.06775710185866661,0.1327559015684908,3.2427867079968564
