fold,seed,model,M_blocks,d,r2,mae,secs
2020Q2,2024,ET-aug,7,15,0.8840547621516655,0.06129871074800001,4.91045862500323
2020Q2,2024,BF-default,7,15,0.8794994290993589,0.06042440383829414,21.391411000004155
2020Q2,13,Dynamic ET,7,15,0.8873049139771187,0.06068024825733334,2.990655457993853
2020Q2,13,ET-aug,7,15,0.8839659556775823,0.061262025014,4.859266125000431
2020Q2,13,BF-default,7,15,0.8786179627339346,0.06055008146536828,21.392201374997967
2020Q3,42,Dynamic ET,7,15,0.7496315150089418,0.09319133462266672,3.064801083994098
2020Q3,42,ET-aug,7,15,0.7415282717941798,0.09413129797600005,4.943355541996425
2020Q3,42,BF-default,7,15,0.7491957616403639,0.09128581692623093,21.328462749996106
2020Q3,7,Dynamic ET,7,15,0.7502568413737377,0.09314898396800006,3.0010199590033153
2020Q3,7,ET-aug,7,15,0.7406334140860118,0.0942233911333334,4.927918458997738
2020Q3,7,BF-default,7,15,0.7541813666814439,0.0905089584594775,21.413982874990324
2020Q3,101,Dynamic ET,7,15,0.7502461029494302,0.09314194074400003,3.069604167001671
2020Q3,101,ET-aug,7,15,0.740829604932767,0.09418840758466672,5.084690875009983
2020Q3,101,BF-default,7,15,0.750787932996315,0.0909144620599524,21.253754040997592
2020Q3,2024,Dynamic ET,7,15,0.7506921595512963,0.09309566165800005,2.9490928330051247
2020Q3,2024,ET-aug,7,15,0.7411501487418813,0.09415358774333339,5.143352707993472
2020Q3,2024,BF-default,7,15,0.7506487385269858,0.09103022081597574,21.450580541990348
2020Q3,13,Dynamic ET,7,15,0.7485626083335666,0.09347737637200006,3.0037261249963194
2020Q3,13,ET-aug,7,15,0.7414086334840722,0.09413620826933339,4.681980834007845
2020Q3,13,BF-default,7,15,0.7501257288378279,0.0909705413309967,21.274971083999844
2020Q4,42,Dynamic ET,8,15,0.7329924764609901,0.0893411636140002,3.3319428749964572
2020Q4,42,ET-aug,8,15,0.7134850244819475,0.09362991823600023,4.7621558329992695
2020Q4,42,BF-default,8,15,0.7566238797093244,0.08083475298376873,21.479813749989262
2020Q4,7,Dynamic ET,8,15,0.7319701186665809,0.08958280350333352,3.1690733750001527
2020Q4,7,ET-aug,8,15,0.7128602336933347,0.09370011848800024,4.793789874995127
2020Q4,7,BF-default,8,15,0.7553273229304527,0.08131541215336692,21.384271791001083
2020Q4,101,Dynamic ET,8,15,0.7316783035358873,0.08956295074000019,3.257820750004612
2020Q4,101,ET-aug,8,15,0.7122132451441194,0.09385713172400026,4.806476957994164
2020Q4,101,BF-default,8,15,0.7575668316278245,0.08086492616602303,21.391963709000265
2020Q4,2024,Dynamic ET,8,15,0.7323271408695078,0.08952256600666683,3.273746332997689
2020Q4,2024,ET-aug,8,15,0.7136483982471338,0.09362226102800024,4.742351749999216
2020Q4,2024,BF-default,8,15,0.7575970248825361,0.08092737606924796,21.355496042000595
2020Q4,13,Dynamic ET,8,15,0.733477357818938,0.08933721800733349,3.121194832987385
2020Q4,13,ET-aug,8,15,0.7129864415754594,0.09368825980933355,5.017982541001402
2020Q4,13,BF-default,8,15,0.755735262742848,0.08123739931973195,21.359972457998083
