fold,model,region,n,r2,mae
2019Q1,BF-corr,ITM,2148,0.6969644230392259,0.04050378137252477
2019Q1,BF-corr,deep_ITM,3437,0.9027903740838031,0.065321645102284
2019Q2,Dynamic ET,deep_OTM,4950,0.9757316475085912,0.02405098378989896
2019Q2,Dynamic ET,OTM,2839,0.5505545691595082,0.029827796502289616
2019Q2,Dynamic ET,ATM,1399,-0.09406210214873645,0.03304914558970691
2019Q2,Dynamic ET,ITM,2241,0.7385819157532754,0.032415115399375374
2019Q2,Dynamic ET,deep_ITM,3571,0.8924322282819939,0.06193286825539068
2019Q2,ET-aug,deep_OTM,4950,0.9748306653936942,0.024623452032323207
2019Q2,ET-aug,OTM,2839,0.5439615655491249,0.030074852229658413
2019Q2,ET-aug,ATM,1399,-0.09838516492435101,0.03310951422444602
2019Q2,ET-aug,ITM,2241,0.7354446646389299,0.032640436189201344
2019Q2,ET-aug,deep_ITM,3571,0.8924345372824232,0.06228174979277514
2019Q2,BF-varsel,deep_OTM,4950,0.9768228183753326,0.023483097983557633
2019Q2,BF-varsel,OTM,2839,0.5663018830423534,0.029117533777183683
2019Q2,BF-varsel,ATM,1399,-0.07284949525264062,0.03262210384202997
2019Q2,BF-varsel,ITM,2241,0.7425416713845556,0.0320388487862562
2019Q2,BF-varsel,deep_ITM,3571,0.8894910417332003,0.061883313967329476
2019Q2,BF-corr,deep_OTM,4950,0.9769863972268023,0.023226813217714845
2019Q2,BF-corr,OTM,2839,0.5722631823779294,0.028526774690473905
2019Q2,BF-corr,ATM,1399,-0.05448539654549389,0.03194242649698597
2019Q2,BF-corr,ITM,2241,0.7437260662526288,0.031499960668650136
2019Q2,BF-corr,deep_ITM,3571,0.885325629442026,0.06260505017057331
2019Q3,Dynamic ET,deep_OTM,4521,0.9748557160526381,0.021557937717319144
2019Q3,Dynamic ET,OTM,3051,0.6915526884420365,0.024015367477876113
2019Q3,Dynamic ET,ATM,1427,-0.12110099562267007,0.03040363358093905
2019Q3,Dynamic ET,ITM,2481,0.7709380169387143,0.028667335060459504
2019Q3,Dynamic ET,deep_ITM,3520,0.9000949235307147,0.04668652230823871
2019Q3,ET-aug,deep_OTM,4521,0.9738169777278899,0.022228733012607797
2019Q3,ET-aug,OTM,3051,0.676604979034791,0.024658843728285813
2019Q3,ET-aug,ATM,1427,-0.17988141814966396,0.0312240760967064
2019Q3,ET-aug,ITM,2481,0.7641319018058429,0.02920386756549779
2019Q3,ET-aug,deep_ITM,3520,0.8985951647590228,0.04722348800568189
2019Q3,BF-varsel,deep_OTM,4521,0.9755531472537028,0.020845638481503934
2019Q3,BF-varsel,OTM,3051,0.7086417969319612,0.023207027653600925
2019Q3,BF-varsel,ATM,1427,-0.0821643409295505,0.029639608406914278
2019Q3,BF-varsel,ITM,2481,0.7739163230191677,0.028447385846432922
2019Q3,BF-varsel,deep_ITM,3520,0.8997354020143646,0.046495680159801205
2019Q3,BF-corr,deep_OTM,4521,0.9743432608905932,0.020811678145008745
2019Q3,BF-corr,OTM,3051,0.7003242505310923,0.02340235191847999
2019Q3,BF-corr,ATM,1427,-0.09734963339153913,0.029923537611037165
2019Q3,BF-corr,ITM,2481,0.7699343457829849,0.028639943833693136
2019Q3,BF-corr,deep_ITM,3520,0.9020343785195363,0.04583306414563895
2019Q4,Dynamic ET,deep_OTM,4297,0.9808671892389325,0.018079431556900078
2019Q4,Dynamic ET,OTM,3012,0.6283558916695248,0.0285540699485392
2019Q4,Dynamic ET,ATM,1533,-0.251027586212335,0.038505944337899445
2019Q4,Dynamic ET,ITM,2416,0.5825206824427778,0.03709522430049674
2019Q4,Dynamic ET,deep_ITM,3742,0.8933964304502191,0.04963154963121325
2019Q4,ET-aug,deep_OTM,4297,0.979862655669499,0.018556524282057157
2019Q4,ET-aug,OTM,3012,0.6094282046723603,0.029040988391434257
2019Q4,ET-aug,ATM,1533,-0.2621944623757997,0.03866890365296792
2019Q4,ET-aug,ITM,2416,0.5900433252648667,0.0365657118377484
2019Q4,ET-aug,deep_ITM,3742,0.8913330866473059,0.05079225413949761
2019Q4,BF-varsel,deep_OTM,4297,0.9820104970462803,0.017491388759576468
2019Q4,BF-varsel,OTM,3012,0.6489670728847682,0.027579456552503375
2019Q4,BF-varsel,ATM,1533,-0.24824391210619057,0.038277503993880566
2019Q4,BF-varsel,ITM,2416,0.5486728273024513,0.03832545344163912
2019Q4,BF-varsel,deep_ITM,3742,0.8959395912681143,0.04876410691822552
2019Q4,BF-corr,deep_OTM,4297,0.9802152621417242,0.01788112618245602
2019Q4,BF-corr,OTM,3012,0.6477304870305136,0.027449175923713928
2019Q4,BF-corr,ATM,1533,-0.12571920838465322,0.036197661337183475
2019Q4,BF-corr,ITM,2416,0.5747105905267968,0.03707890824361707
2019Q4,BF-corr,deep_ITM,3742,0.8928227183226488,0.05025956516604822
2020Q1,Dynamic ET,deep_OTM,4996,0.7180375781663515,0.07981104627702168
2020Q1,Dynamic ET,OTM,2413,-0.2799053924323709,0.10936626583920418
2020Q1,Dynamic ET,ATM,1198,-0.565745773141302,0.12456049742070112
2020Q1,Dynamic ET,ITM,2035,-0.22465471331992592,0.1128944056805897
2020Q1,Dynamic ET,deep_ITM,4358,0.7938978498498567,0.09746360913721897
2020Q1,ET-aug,deep_OTM,4996,0.7125087844510841,0.08150629276020821
2020Q1,ET-aug,OTM,2413,-0.2769198136258406,0.10907612753004545
2020Q1,ET-aug,ATM,1198,-0.5605695456798105,0.12462916586811348
2020Q1,ET-aug,ITM,2035,-0.2216322267664581,0.11278486670270275
2020Q1,ET-aug,deep_ITM,4358,0.7913946445982419,0.09792802905690685
2020Q1,BF-varsel,deep_OTM,4996,0.7199918605185083,0.0784972880517778
2020Q1,BF-varsel,OTM,2413,-0.28272584637204323,0.10950791410251995
2020Q1,BF-varsel,ATM,1198,-0.5693972814362294,0.12440660417292707
2020Q1,BF-varsel,ITM,2035,-0.21677278371403141,0.11235424091809991
2020Q1,BF-varsel,deep_ITM,4358,0.7846850819889732,0.09873087428292798
2020Q1,BF-corr,deep_OTM,4996,0.7188524530389855,0.0787880148875211
2020Q1,BF-corr,OTM,2413,-0.25845855357326664,0.10826253312261754
2020Q1,BF-corr,ATM,1198,-0.5445495760190697,0.12403098726038814
2020Q1,BF-corr,ITM,2035,-0.19874865402322328,0.11196890097849893
2020Q1,BF-corr,deep_ITM,4358,0.7890787301494424,0.0976978901773905
2020Q2,Dynamic ET,deep_OTM,4833,0.9075143871416369,0.05711946126629432
2020Q2,Dynamic ET,OTM,2437,0.34423807890144487,0.04906704484201884
2020Q2,Dynamic ET,ATM,1207,-0.10474669600342112,0.05418335278376133
2020Q2,Dynamic ET,ITM,2019,0.34788803930954526,0.05754727676572555
2020Q2,Dynamic ET,deep_ITM,4504,0.8932826539047862,0.07469769630772642
2020Q2,ET-aug,deep_OTM,4833,0.9055941400912407,0.057276772927788266
2020Q2,ET-aug,OTM,2437,0.31562825892077173,0.04981803457119406
2020Q2,ET-aug,ATM,1207,-0.10274525877247997,0.05422396248550117
2020Q2,ET-aug,ITM,2019,0.3709866653327133,0.05682186605250117
2020Q2,ET-aug,deep_ITM,4504,0.8904012415587755,0.07571793058614561
2020Q2,BF-varsel,deep_OTM,4833,0.9099333565004951,0.056076262804269465
2020Q2,BF-varsel,OTM,2437,0.37905132578968526,0.047953315101964704
2020Q2,BF-varsel,ATM,1207,-0.08843014146635064,0.054139419799088595
2020Q2,BF-varsel,ITM,2019,0.3423062983022931,0.05738137072890867
2020Q2,BF-varsel,deep_ITM,4504,0.8930397036423743,0.07405846117414146
2020Q2,BF-corr,deep_OTM,4833,0.9185527535483964,0.053908882637968496
2020Q2,BF-corr,OTM,2437,0.4108598568196419,0.0480739528687028
2020Q2,BF-corr,ATM,1207,-0.01840298331352841,0.05355670151126847
2020Q2,BF-corr,ITM,2019,0.39527253907534476,0.056050350086395515
2020Q2,BF-corr,deep_ITM,4504,0.8904846118357898,0.0730603359480342
2020Q3,Dynamic ET,deep_OTM,4877,0.779658761794991,0.08457881313922506
2020Q3,Dynamic ET,OTM,2356,-1.1256793784882029,0.08425352562393892
2020Q3,Dynamic ET,ATM,1180,-1.7257144607008281,0.09461518211864405
2020Q3,Dynamic ET,ITM,1930,-0.8953470592814896,0.09213021747150257
2020Q3,Dynamic ET,deep_ITM,4657,0.7962259263635848,0.10681138214945249
2020Q3,ET-aug,deep_OTM,4877,0.777028303085703,0.08459127367849102
2020Q3,ET-aug,OTM,2356,-1.1512550568240312,0.08446967994057727
2020Q3,ET-aug,ATM,1180,-1.8212748913333079,0.09578374467796609
2020Q3,ET-aug,ITM,1930,-0.9589199283968823,0.09290804683937821
2020Q3,ET-aug,deep_ITM,4657,0.7867891873456292,0.10909811313077092
2020Q3,BF-varsel,deep_OTM,4877,0.779707362026757,0.08428461506170927
2020Q3,BF-varsel,OTM,2356,-0.9312363245533906,0.08065575973238542
2020Q3,BF-varsel,ATM,1180,-1.4190233223526767,0.08976602874491521
2020Q3,BF-varsel,ITM,1930,-0.6977837374208418,0.08761552669257339
2020Q3,BF-varsel,deep_ITM,4657,0.7999693285060122,0.10585571964819988
2020Q3,BF-corr,deep_OTM,4877,0.786951017001054,0.08184947966217634
2020Q3,BF-corr,OTM,2356,-0.9164422330171005,0.07962581470517574
2020Q3,BF-corr,ATM,1180,-1.4009221713282631,0.08867912007948132
2020Q3,BF-corr,ITM,1930,-0.7794266535883752,0.08898155145724111
2020Q3,BF-corr,deep_ITM,4657,0.7965171502130692,0.10550485082327625
2020Q4,Dynamic ET,deep_OTM,4521,0.8668828360165443,0.06303932218535782
2020Q4,Dynamic ET,OTM,2544,-2.1629232496762745,0.10119591669811338
2020Q4,Dynamic ET,ATM,1358,-3.3132324705750884,0.11067550547128094
2020Q4,Dynamic ET,ITM,2186,-2.0249437068910807,0.10774760588289102
2020Q4,Dynamic ET,deep_ITM,4391,0.8228095406173983,0.09379199809610578
