fold,seed,model,r2,mae,secs
2020Q3,42,ET-aug,0.7415282717941798,0.094131297976,4.943355541996425
2020Q3,42,BF-default,0.7491957616403639,0.0912858169262309,21.328462749996103
2020Q3,7,Dynamic ET,0.7502568413737377,0.093148983968,3.0010199590033153
2020Q3,7,ET-aug,0.7406334140860118,0.0942233911333334,4.927918458997738
2020Q3,7,BF-default,0.7541813666814439,0.0905089584594775,21.413982874990324
2020Q3,101,Dynamic ET,0.7502461029494302,0.093141940744,3.069604167001671
2020Q3,101,ET-aug,0.740829604932767,0.0941884075846667,5.084690875009983
2020Q3,101,BF-default,0.750787932996315,0.0909144620599524,21.253754040997592
2020Q3,2024,Dynamic ET,0.7506921595512963,0.093095661658,2.9490928330051247
2020Q3,2024,ET-aug,0.7411501487418813,0.0941535877433333,5.143352707993472
2020Q3,2024,BF-default,0.7506487385269858,0.0910302208159757,21.450580541990348
2020Q3,13,Dynamic ET,0.7485626083335666,0.093477376372,3.0037261249963194
2020Q3,13,ET-aug,0.7414086334840722,0.0941362082693333,4.681980834007845
2020Q3,13,BF-default,0.7501257288378279,0.0909705413309967,21.274971083999844
2020Q4,42,Dynamic ET,0.7329924764609901,0.0893411636140002,3.3319428749964572
2020Q4,42,ET-aug,0.7134850244819475,0.0936299182360002,4.7621558329992695
2020Q4,42,BF-default,0.7566238797093244,0.0808347529837687,21.479813749989265
2020Q4,7,Dynamic ET,0.7319701186665809,0.0895828035033335,3.1690733750001527
2020Q4,7,ET-aug,0.7128602336933347,0.0937001184880002,4.793789874995127
2020Q4,7,BF-default,0.7553273229304527,0.0813154121533669,21.384271791001083
2020Q4,101,Dynamic ET,0.7316783035358873,0.0895629507400001,3.257820750004612
2020Q4,101,ET-aug,0.7122132451441194,0.0938571317240002,4.806476957994164
2020Q4,101,BF-default,0.7575668316278245,0.080864926166023,21.391963709000265
2020Q4,2024,Dynamic ET,0.7323271408695078,0.0895225660066668,3.273746332997689
2020Q4,2024,ET-aug,0.7136483982471338,0.0936222610280002,4.742351749999216
2020Q4,2024,BF-default,0.7575970248825361,0.0809273760692479,21.355496042000595
2020Q4,13,Dynamic ET,0.733477357818938,0.0893372180073334,3.121194832987385
2020Q4,13,ET-aug,0.7129864415754594,0.0936882598093335,5.017982541001402
2020Q4,13,BF-default,0.755735262742848,0.0812373993197319,21.359972457998083
2017Q1,42,CatBoost,0.8494792444839578,0.05228224394849712,0.712798833992565
2017Q1,42,XGBoost,0.8249541415599975,0.059139547994286855,1.236571167013608
2017Q1,42,RF,0.8510724532055512,0.050459849827672494,1.4640553749923129
2017Q1,42,ET,0.8125391082218331,0.05784314648466663,3.0284422090044245
2017Q1,7,CatBoost,0.8517151489837527,0.051984878885726025,0.6438877919863444
2017Q1,7,XGBoost,0.7989572451677637,0.06272754918844652,1.3348263330117334
2017Q1,7,RF,0.8505404096275431,0.050578150840192994,1.4382696250104345
2017Q1,7,ET,0.8137666134690332,0.05721190348999993,2.9271700420067646
2017Q1,101,CatBoost,0.8440563835337409,0.0525544144624351,0.6492656250193249
2017Q1,101,XGBoost,0.808660080981001,0.06138353835937659,1.3709754160081502
2017Q1,101,RF,0.8509171281723099,0.05061012647536409,1.4627872499986552
2017Q1,101,ET,0.8122952081386425,0.05751193475666661,3.100415332999546
2017Q1,2024,CatBoost,0.8494069458121978,0.05224536568116279,0.5972328329808079
2017Q1,2024,XGBoost,0.8116392402242838,0.060887701672518564,1.4036612909985706
2017Q1,2024,RF,0.8492724141566539,0.050680464898053196,1.4812136249965988
2017Q1,2024,ET,0.8124462582229932,0.05747800006599995,3.2617145830008667
2017Q1,13,CatBoost,0.836071034488132,0.05476785210095353,0.6234067500045057
2017Q1,13,XGBoost,0.8063728808274785,0.06108210924909099,1.4466566659975797
2017Q1,13,RF,0.8515291485189289,0.050488286614620875,1.5210297080047894
2017Q1,13,ET,0.8138111881523231,0.05728413619466659,3.121492834005039
2017Q2,42,CatBoost,0.9199421198612638,0.0282649653699055,0.641639417008264
2017Q2,42,XGBoost,0.9161766088741866,0.02893507726763455,1.4120399160019588
2017Q2,42,RF,0.9217713392329612,0.027981614163151047,1.4986834579904098
2017Q2,42,ET,0.9154329387731471,0.02692826208466666,3.236069625010714
2017Q2,7,CatBoost,0.9195347478747045,0.028296556607017066,0.6601512499910314
2017Q2,7,XGBoost,0.9098334307378315,0.029885204669390517,1.453596125007607
2017Q2,7,RF,0.9214654001281806,0.027943978749740375,1.5054987920157146
2017Q2,7,ET,0.91628905470356,0.026884939374333314,3.262812250002753
2017Q2,101,CatBoost,0.9190015258570103,0.028483717442147335,0.6662006669794209
2017Q2,101,XGBoost,0.9088205194538272,0.030299619186821936,1.4434809999947902
2017Q2,101,RF,0.9208880759762241,0.028000489773292156,1.5050392080156598
2017Q2,101,ET,0.9159431653976605,0.026893107121999993,3.5863002080004662
2017Q2,2024,CatBoost,0.9212441800173408,0.02853502307883757,0.6665824580122717
2017Q2,2024,XGBoost,0.9123673379122504,0.029062280776256083,1.4179832499939948
2017Q2,2024,RF,0.9213140751780735,0.028001351930886563,1.5122404169815127
2017Q2,2024,ET,0.915347453849993,0.026886735987333325,3.426343540981179
2017Q2,13,CatBoost,0.9198042774491462,0.028689796381111334,0.6419567499833647
2017Q2,13,XGBoost,0.9074434071651745,0.029971789334597907,1.3923181669961195
2017Q2,13,RF,0.9205289308274099,0.02801854900900985,1.4694199159857817
2017Q2,13,ET,0.9151978762420843,0.026911529949999992,3.1168150829907972
2017Q3,42,CatBoost,0.9080961377904672,0.03577399871225372,0.6326747079729103
2017Q3,42,XGBoost,0.9049042446663865,0.03543756602253739,1.4591128329921048
2017Q3,42,RF,0.9139520476848872,0.034524989628023986,1.498172124993289
2017Q3,42,ET,0.911210247673885,0.034521105049999966,3.219612667016918
2017Q3,7,CatBoost,0.9095600283581756,0.035485989485617056,0.6414591660141014
2017Q3,7,XGBoost,0.9015603560966795,0.035383891561303775,1.418519416009076
2017Q3,7,RF,0.9144351833929791,0.03441707554168257,1.48364258397487
2017Q3,7,ET,0.9110948852953517,0.0345235180473333,3.230412292003166
2017Q3,101,CatBoost,0.9086345211153212,0.03551191729778793,0.6441040410136338
2017Q3,101,XGBoost,0.8983064939036198,0.035899578516398745,1.3376801249978598
2017Q3,101,RF,0.9136971077576705,0.03446843548908698,1.4691004159976728
2017Q3,101,ET,0.9106794028149907,0.03451022391799997,3.245863582997117
2017Q3,2024,CatBoost,0.9087498646482817,0.03571966415629858,0.6458728340221569
2017Q3,2024,XGBoost,0.9026307566698301,0.03546494755000305,1.43959629200981
2017Q3,2024,RF,0.9141509781215778,0.03451224979519634,1.5081969999882858
2017Q3,2024,ET,0.9101751566415197,0.034554102018666634,3.29216691700276
2017Q3,13,CatBoost,0.9074773649446329,0.0358687588005245,0.6270556669915095
2017Q3,13,XGBoost,0.9024699514192613,0.035237627992658935,1.361308082996402
2017Q3,13,RF,0.9143745331872601,0.03446515942557142,1.4529279590060469
2017Q3,13,ET,0.9100964997213614,0.034558987247333306,3.4190136669785716
2017Q4,42,CatBoost,0.9209305944968752,0.03291022283918218,0.6540892089833505
2017Q4,42,XGBoost,0.9045640224543344,0.03367526544426855,1.3920575419906527
2017Q4,42,RF,0.9178735709444419,0.030774456085711246,1.5692940419830848
2017Q4,42,ET,0.911373570518621,0.031260756546,3.24502550001489
2017Q4,7,CatBoost,0.9188208482284124,0.03311654860702956,0.6375614169810433
2017Q4,7,XGBoost,0.9045682378265963,0.034268605501395544,1.4064162080176175
2017Q4,7,RF,0.9187309230084445,0.030738402667850794,1.5668751249904744
2017Q4,7,ET,0.9114371304699856,0.031229580946000004,3.293031500012148
2017Q4,101,CatBoost,0.9205432336907152,0.03275843061293719,0.6430734580208082
2017Q4,101,XGBoost,0.8937677203335219,0.0357191810544494,1.4323282919940539
2017Q4,101,RF,0.9176350884560346,0.030761689008403703,1.5217975839914288
2017Q4,101,ET,0.912178785934314,0.031149799485666662,3.229531125020003
2017Q4,2024,CatBoost,0.9192531223777142,0.03313231603834852,0.6361995409824885
2017Q4,2024,XGBoost,0.9057550434129974,0.03398735555851078,1.4496308339876123
2017Q4,2024,RF,0.9176640644013244,0.03075495383384185,1.5269826249859761
2017Q4,2024,ET,0.9117197100761769,0.031205159773,3.1139026250166353
2017Q4,13,CatBoost,0.9189685039194122,0.033269144224696325,0.6450441659835633
2017Q4,13,XGBoost,0.9018247033844135,0.03466197272106329,1.4503728749987204
2017Q4,13,RF,0.9191080358277672,0.03070911505423257,1.5357352500141133
2017Q4,13,ET,0.9112441568274655,0.031224839763000008,3.141764875006629
2018Q1,42,CatBoost,0.914613031361999,0.034349669111915435,0.6412389580218587
2018Q1,42,XGBoost,0.9105716996622875,0.035549699028152144,1.3967922079900745
2018Q1,42,RF,0.908832175993376,0.03546359479701659,1.515342500002589
2018Q1,42,ET,0.9092459835201784,0.034995472296666684,3.343467958999099
2018Q1,7,CatBoost,0.9155887033116746,0.03406404117349905,0.6454034580092411
2018Q1,7,XGBoost,0.9126821641149533,0.03513880850199254,1.4317464589839801
2018Q1,7,RF,0.9091716794845868,0.035417308029227476,1.5361320000083651
2018Q1,7,ET,0.9093274683005834,0.035051296450000026,3.181618124974193
2018Q1,101,CatBoost,0.9149978570664594,0.03403178105983766,0.6489574169972911
2018Q1,101,XGBoost,0.9065476243984825,0.036754116105682536,1.4748965420003515
2018Q1,101,RF,0.9097521384492275,0.03536771872083805,1.5407417909882497
2018Q1,101,ET,0.9096090413767011,0.03496165997266668,3.169834041997092
2018Q1,2024,CatBoost,0.9131604619282326,0.03454070383329786,0.6471858750155661
2018Q1,2024,XGBoost,0.913951798973102,0.03473300569187482,1.4423893329803832
2018Q1,2024,RF,0.9096933885494787,0.03535755666462025,1.5486255409778096
2018Q1,2024,ET,0.9095195807132375,0.035011603710000026,3.295607165986439
2018Q1,13,CatBoost,0.9169381321214116,0.034283946306331546,0.6598483750130981
2018Q1,13,XGBoost,0.9101465730891181,0.035807505431911156,1.3602709590049926
2018Q1,13,RF,0.9092181880642418,0.035366908688747076,1.54849999997532
2018Q1,13,ET,0.9097879109110081,0.03494887062933335,3.117984707991127
2018Q2,42,CatBoost,0.9334121661749779,0.030244101318446147,0.6431812910013832
2018Q2,42,XGBoost,0.9417226383948025,0.029269144145991643,1.4190552919753827
2018Q2,42,RF,0.9359765825963853,0.03242145822041783,1.5154451670241542
2018Q2,42,ET,0.9344646879802921,0.030009649943333373,3.2518813330098055
2018Q2,7,CatBoost,0.9316409899964536,0.03030392322590529,0.638935708993813
2018Q2,7,XGBoost,0.9412978922079059,0.028735890660767555,1.419691499992041
2018Q2,7,RF,0.936492995680026,0.032397163292267,1.5378416669846047
2018Q2,7,ET,0.9338000965952034,0.030129648826666695,3.302695708000101
2018Q2,101,CatBoost,0.9330347382195047,0.030546475015917507,0.6372877079993486
2018Q2,101,XGBoost,0.9387215479849437,0.02992654701229922,1.3972334580030292
2018Q2,101,RF,0.936004387812468,0.03248259070003384,1.4896315000078175
2018Q2,101,ET,0.9341761603187567,0.030037919940000022,3.196785166976042
2018Q2,2024,CatBoost,0.927921215532943,0.030671519168768986,0.6413920419872738
2018Q2,2024,XGBoost,0.9402285531488461,0.029214448813278195,1.3370532920234837
2018Q2,2024,RF,0.9362913789168179,0.03244635487682942,1.5387890000129119
2018Q2,2024,ET,0.93379523515431,0.030117455668000028,3.2530526669870596
2018Q2,13,CatBoost,0.9306385210087715,0.030146257632692294,0.6444073749880772
2018Q2,13,XGBoost,0.9393271578195823,0.02932737601454258,1.4044318330124952
2018Q2,13,RF,0.936138359147185,0.03243037909871682,1.5377328339964151
2018Q2,13,ET,0.9339217536143419,0.030161726472000033,3.3060294580063783
2018Q3,42,CatBoost,0.9382782221231474,0.03402866447411459,0.6447767089994159
2018Q3,42,XGBoost,0.9294225194342317,0.035568658347146995,1.4073079590161797
