seed,dataset,model,region,n,M,r2,mae
101,"12,110 American",ET-aug,ATM,1934,8,-0.8805422914593775,0.13168467086556374
101,"12,110 American",ET-aug,ITM,1586,8,-0.4580742520392793,0.13265477596532155
101,"12,110 American",ET-aug,deep ITM,3707,8,-0.5638502361886069,0.17062756543862967
101,"12,110 American",ET,all,11563,8,-0.2566711461634297,0.1490921861466748
101,"12,110 American",ET,deep OTM,2524,8,-0.008279340620366282,0.1419387067151347
101,"12,110 American",ET,OTM,1812,8,-0.4660247328900795,0.13683100994205294
101,"12,110 American",ET,ATM,1934,8,-1.1780360702346924,0.1394371046142711
101,"12,110 American",ET,ITM,1586,8,-0.6698621838440919,0.14105932174211852
101,"12,110 American",ET,deep ITM,3707,8,-0.5286369378290181,0.16843011007364458
101,"12,110 American",RF,all,11563,8,-0.6745733835158274,0.16249351506675444
101,"12,110 American",RF,deep OTM,2524,8,-0.2608818133273094,0.15280216840974747
101,"12,110 American",RF,OTM,1812,8,-1.5632067542862225,0.15992502340936296
101,"12,110 American",RF,ATM,1934,8,-2.388074570976449,0.15621826775129088
101,"12,110 American",RF,ITM,1586,8,-1.349182856774012,0.15825942188595485
101,"12,110 American",RF,deep ITM,3707,8,-0.6896240147161792,0.17543299872964455
2024,2019 in-sample,Dynamic ET,all,893,8,0.5000997753353377,0.08655215378499445
2024,2019 in-sample,Dynamic ET,OTM,253,8,0.39168328887828485,0.0922359711462454
2024,2019 in-sample,Dynamic ET,ATM,323,8,0.6213954701945522,0.06630948752321965
2024,2019 in-sample,Dynamic ET,ITM,294,8,0.4170782487157976,0.10079041255102042
2024,2019 in-sample,ET-aug,all,893,8,0.5433883534482832,0.08186736696528561
2024,2019 in-sample,ET-aug,OTM,253,8,0.41441973258284304,0.08846176288537577
2024,2019 in-sample,ET-aug,ATM,323,8,0.6767553337022149,0.06183364359133118
2024,2019 in-sample,ET-aug,ITM,294,8,0.4610259095061683,0.09542536707482994
2024,2019 in-sample,ET,all,893,8,0.6361798052296971,0.07111953867861145
2024,2019 in-sample,ET,OTM,253,8,0.5385767862415803,0.07655624695652193
2024,2019 in-sample,ET,ATM,323,8,0.7687649643247533,0.05226669773993802
2024,2019 in-sample,ET,ITM,294,8,0.5456111827819727,0.08484618557823127
